Material,CO2_Reduction,Ca_Rate,Si_CN,CSH_Pairs,CO2_Score,Ca_Score,Si_Score,CSH_Score,Total,Grade
FlyAshC,85,0.2997002997002997,3.5402597402597404,7,21.2,25.0,22.1,21.9,90.3,A
EAFSlag,75,0.2997002997002997,3.304195804195804,12,18.8,25.0,20.7,25.0,89.4,A
WasteGlass,75,0.1998001998001998,3.547286047286047,6,18.8,25.0,22.2,18.8,84.7,A
CopperSlag,75,0.0999000999000999,2.9425574425574426,7,18.8,20.0,18.4,21.9,79.0,A
SteelSlag,75,0.1998001998001998,2.628371628371628,6,18.8,25.0,16.4,18.8,78.9,A
POFA,88,0.0,4.018315018315017,4,22.0,5.0,24.9,12.5,64.4,B
FlyAshF,85,0.0,3.4065934065934065,5,21.2,5.0,21.3,15.6,63.2,B
BFS,85,0.4995004995004995,2.742007992007992,4,21.2,10.0,17.1,12.5,60.9,B
RiceHuskAsh,92,0.0,3.7005494505494507,0,23.0,5.0,23.1,0.0,51.1,B
BottomAsh,75,0.0,3.3272727272727267,2,18.8,5.0,20.8,6.2,50.8,B
SilicaFume,88,0.0,3.7066683316683315,0,22.0,5.0,23.2,0.0,50.2,B
NickelSlag,75,0.0,3.8943556443556444,0,18.8,5.0,24.3,0.0,48.1,C
Metakaolin,75,0.0,3.3626373626373627,0,18.8,5.0,21.0,0.0,44.8,C
CoalGangue,70,0.0,3.5150849150849157,0,17.5,5.0,22.0,0.0,44.5,C
CeramicWaste,65,0.0,3.3446553446553446,0,16.2,5.0,20.9,0.0,42.2,C
RedMud,65,0.0,3.3216783216783217,0,16.2,5.0,20.8,0.0,42.0,C
